date,pce,pop,psavert,uempmed,unemploy
01/04/2013,11205.4,315817.855,6.4,17.1,11760
01/05/2013,11244.6,315983.654,6.7,17.1,11654
01/06/2013,11268.8,316171.042,6.8,17,11751
01/07/2013,11296.7,316358.778,6.6,16.2,11335
01/08/2013,11329.2,316580.327,6.7,16.5,11279
01/09/2013,11366.9,316806.125,6.8,16.5,11270
01/10/2013,11419.8,317022.27,6.3,16.3,11136
01/11/2013,11487.6,317228.026,6.2,17.1,10787
01/12/2013,11517.9,317411.551,6.4,17.3,10404
01/01/2014,11512.5,317593.923,7.1,15.4,10202
01/02/2014,11566.2,317753.883,7.3,15.9,10349
01/03/2014,11643,317917.203,7.4,15.8,10380
01/04/2014,11702.6,318089.218,7.4,15.7,9702
01/05/2014,11748.4,318269.505,7.4,14.6,9859
01/06/2014,11817,318464.152,7.4,13.8,9460
01/07/2014,11860.5,318662.368,7.5,13.1,9608
01/08/2014,11944.3,318893.786,7.2,12.9,9599
01/09/2014,11957.4,319125.296,7.4,13.4,9262
01/10/2014,12023,319353.734,7.2,13.6,8990
01/11/2014,12051.4,319564.209,7.3,13,9090
01/12/2014,12062,319746.157,7.6,12.9,8717
01/01/2015,12046,319928.646,7.7,13.2,8903
01/02/2015,12082.4,320074.511,7.9,12.9,8610
01/03/2015,12158.3,320230.786,7.4,12,8504
01/04/2015,12193.8,320402.295,7.6,11.5,8526
